@relation 'bpd_200204-201102-weka.filters.unsupervised.attribute.Remove-R1-5,11,13,15-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute dobYear numeric
@attribute height numeric
@attribute race {0.0,W,U,B,A,K,M,L,I,P,N}
@attribute gender {0.0,M,F,U}
@attribute medicalCount numeric
@attribute offenseCount numeric
@attribute warrantCount numeric
@attribute lastWarrantBail numeric
@attribute involveTotal numeric
@attribute involveCountVictim numeric
@attribute involveCountSuspect numeric
@attribute involveCountArrestee numeric
@attribute involveCountComplainant numeric

@data
0,0,0.0,0.0,0,0,0,0,0.004173,0,0,0,0
0,0,0.0,0.0,0,0,0,0,0.015128,0,0,0,22
0.979104,0.832512,W,F,0,0.166667,0.058824,0.011854,0.010955,0.001908,0.136364,0.042553,2
0.98408,0.829228,W,F,0,0,0.058824,0.007556,0.004695,0,0,0.021277,1
0.978109,0.835796,U,F,0,0,0.058824,0.012279,0.00313,0,0.045455,0,0
0.973632,0.835796,W,M,0,0,0.058824,0.017615,0.004173,0,0.045455,0,0
0.980597,0.986864,W,M,0,0,0.058824,0,0.002608,0,0.045455,0,0
0.978607,0.988506,W,M,0,0,0.176471,0.024085,0.004695,0,0,0,0
0.975124,0.82266,B,M,0,0,0.058824,0.024085,0.005216,0,0,0.021277,0
0.9801,0.829228,W,M,0,0,0.058824,0,0.003652,0,0,0,0
0.970647,0.832512,U,F,0,0,0.058824,0.024085,0.004173,0.001908,0,0,0
0.975622,0.988506,W,M,0,0,0.117647,0,0.00313,0,0,0,0
0.983582,0.986864,W,M,0,0,0.235294,0.024085,0.008868,0,0.045455,0.042553,0
0.975124,0.834154,W,M,0,0,0.058824,0.015207,0.00313,0,0,0,0
0,0,0.0,0.0,0,0,0,0,0.007825,0.005725,0,0,0
0,0,0.0,0.0,0,0,0,0,0.031299,0.051527,0,0,0
0.976617,0.82266,W,M,0,0,0,0,0.005216,0,0.090909,0,1
0.9801,0.834154,W,F,0,0,0,0,0.00313,0,0,0,0
0.969154,0.988506,W,M,0,0,0,0,0.009911,0,0,0,12
0.989552,0.985222,W,M,0,0,0,0,0.002608,0,0,0,0
0.976617,0.834154,W,M,0,0,0,0,0.004173,0.001908,0,0,1
0.972139,0.827586,W,F,0.2,0.333333,0,0,0.007825,0,0.045455,0,6
0.984577,0.824302,W,F,0,0,0,0,0.004173,0.001908,0,0,1
0.967662,0.835796,W,M,0,0.166667,0,0,0.004173,0,0,0,3
0.985572,0.832512,W,F,0,0,0,0,0.004695,0.001908,0,0,1
0.974627,0.988506,W,M,0,0,0,0,0.00626,0.001908,0.045455,0,2
0.972139,0.821018,W,F,0,0.166667,0,0,0.008346,0.001908,0.045455,0,3
0.971642,0.821018,W,M,0,0,0,0,0.00626,0.003817,0,0,3
0.978109,0.827586,0.0,F,0,0,0,0,0.00313,0,0,0,0
0.966169,0.821018,W,F,0,0,0,0,0.00313,0,0,0,0
0.981592,0.985222,W,M,0,0,0,0,0.004173,0,0,0,1
0.978607,0.832512,W,F,0,0.166667,0,0,0.006781,0,0,0,5
0.985572,0.827586,W,F,0,0,0,0,0.003652,0,0.045455,0,0
0.98607,0.985222,W,M,0,0.166667,0.470588,0.040425,0.035472,0.01145,0.454545,0.148936,5
0,0,0.0,0.0,0,0.166667,0,0,0.008346,0.001908,0,0,8
0.972139,0.834154,0.0,M,0,0,0,0,0.002087,0.001908,0,0,0
0.983085,0.825944,W,F,0,0,0,0,0.004695,0.003817,0,0,1
0.985075,0.821018,B,F,0,0.166667,0,0,0.008868,0.005725,0.045455,0,7
0.979104,0.827586,0.0,F,0,0,0,0,0.004695,0.003817,0,0,1
0.983582,0.83087,W,F,0,0,0,0,0.00313,0.001908,0,0,0
0.976119,0.82266,0.0,M,0,0,0,0,0.002608,0,0,0,0
0.980597,0.825944,0.0,F,0,0.166667,0,0,0.005738,0,0,0,4
0,0,0.0,0.0,0,0,0,0,0.007825,0.003817,0,0,0
0,0,0.0,0.0,0,0.166667,0,0,0.004173,0,0,0,2
0.981095,0.835796,0.0,M,0.2,0,0,0,0.005216,0,0,0,2
0.981095,0.83087,W,F,0,0.166667,0,0,0.00939,0.001908,0.045455,0,4
0.971642,0.827586,W,F,0,0,0,0,0.003652,0,0,0,1
